,balikpapan,bandung,batam,jakarta,makassar,medan,palembang,pekanbaru,surabaya,yogyakarta
2018-08-21,70900.0,54700.0,67150.0,61800.0,45000.0,41400.0,66050.0,73300.0,67800.0,58250.0
2018-08-22,,,,,,,,,,
2018-08-23,70900.0,55050.0,65650.0,62050.0,47900.0,39550.0,66000.0,70150.0,67800.0,58250.0
2018-08-24,70900.0,55050.0,65650.0,62050.0,47900.0,39550.0,66000.0,70150.0,67800.0,58250.0
2018-08-25,,,,,,,,,,
2018-08-26,,,,,,,,,,
2018-08-27,70900.0,55050.0,65650.0,62050.0,47900.0,39550.0,66000.0,70150.0,67800.0,58250.0
2018-08-28,70900.0,55050.0,65650.0,62050.0,47900.0,39550.0,66000.0,70150.0,67800.0,58250.0
2018-08-29,70900.0,55050.0,65650.0,62050.0,47900.0,39550.0,66000.0,70150.0,67800.0,58250.0
2018-08-30,70900.0,55050.0,65650.0,62050.0,47900.0,39550.0,66000.0,70150.0,67800.0,58250.0
2018-08-31,70900.0,55050.0,65650.0,62050.0,47900.0,39550.0,66000.0,70150.0,67800.0,58250.0
2018-09-01,,,,,,,,,,
2018-09-02,,,,,,,,,,
2018-09-03,70900.0,55050.0,65650.0,62050.0,47900.0,39550.0,66000.0,70150.0,67800.0,58250.0
2018-09-04,70900.0,55050.0,65650.0,62050.0,47900.0,39550.0,66000.0,70150.0,67800.0,58250.0
2018-09-05,70900.0,47700.0,76550.0,60950.0,38350.0,37900.0,66000.0,69150.0,64150.0,55100.0
2018-09-06,70900.0,47700.0,76550.0,60950.0,38350.0,37900.0,66000.0,69150.0,64150.0,55100.0
2018-09-07,70900.0,47700.0,76550.0,60950.0,38350.0,37900.0,66000.0,69150.0,64150.0,55100.0
2018-09-08,,,,,,,,,,
2018-09-09,,,,,,,,,,
2018-09-10,70900.0,47700.0,76550.0,60950.0,38350.0,37900.0,66000.0,69150.0,64150.0,55100.0
2018-09-11,,,,,,,,,,
2018-09-12,70900.0,49750.0,60750.0,54100.0,35650.0,37900.0,66000.0,72400.0,60800.0,55100.0
2018-09-13,70900.0,49750.0,60750.0,54100.0,35650.0,37900.0,66000.0,72400.0,60800.0,55100.0
2018-09-14,70900.0,49750.0,60750.0,54100.0,35650.0,37900.0,66000.0,72400.0,60800.0,55100.0
2018-09-15,,,,,,,,,,
2018-09-16,,,,,,,,,,
2018-09-17,70900.0,49750.0,60750.0,54100.0,35650.0,37900.0,66000.0,72400.0,60800.0,55100.0
2018-09-18,70900.0,49750.0,60750.0,54100.0,35650.0,37900.0,66000.0,72400.0,60800.0,55100.0
2018-09-19,70900.0,49750.0,57900.0,53850.0,34950.0,37900.0,66000.0,55900.0,56150.0,56200.0
2018-09-20,70900.0,49750.0,57900.0,53850.0,34950.0,37900.0,66000.0,55900.0,56150.0,56200.0
2018-09-21,70900.0,49750.0,57900.0,53850.0,34950.0,37900.0,66000.0,55900.0,56150.0,56200.0
2018-09-22,,,,,,,,,,
2018-09-23,,,,,,,,,,
2018-09-24,70900.0,49750.0,57900.0,53850.0,34950.0,37900.0,66000.0,55900.0,56150.0,56200.0
2018-09-25,70900.0,49750.0,57900.0,53850.0,34950.0,37900.0,66000.0,55900.0,56150.0,56200.0
2018-09-26,70900.0,48300.0,57900.0,53600.0,34350.0,37900.0,66000.0,54400.0,56150.0,51600.0
2018-09-27,70900.0,48300.0,57900.0,53600.0,34350.0,37900.0,66000.0,54400.0,56150.0,51600.0
2018-09-28,70900.0,48300.0,57900.0,53600.0,34350.0,37900.0,66000.0,54400.0,56150.0,51600.0
2018-09-29,,,,,,,,,,
2018-09-30,,,,,,,,,,
2018-10-01,70900.0,48300.0,57900.0,53600.0,34350.0,37900.0,66000.0,54400.0,56150.0,51600.0
2018-10-02,70900.0,48300.0,57900.0,53600.0,34350.0,37900.0,66000.0,54400.0,56150.0,51600.0
2018-10-03,70900.0,47950.0,58500.0,53600.0,33350.0,37900.0,66000.0,54400.0,57400.0,47550.0
2018-10-04,70900.0,47950.0,58500.0,53600.0,33350.0,37900.0,66000.0,54400.0,57400.0,47550.0
2018-10-05,70900.0,47950.0,58500.0,53600.0,33350.0,37900.0,66000.0,54400.0,57400.0,47550.0
2018-10-06,,,,,,,,,,
2018-10-07,,,,,,,,,,
2018-10-08,70900.0,47950.0,58500.0,53600.0,33350.0,37900.0,66000.0,54400.0,57400.0,47550.0
2018-10-09,70900.0,47950.0,58500.0,53600.0,33350.0,37900.0,66000.0,54400.0,57400.0,47550.0
2018-10-10,70900.0,49050.0,58500.0,56100.0,32350.0,37900.0,66000.0,57950.0,57700.0,47550.0
2018-10-11,70900.0,49050.0,58500.0,56100.0,32350.0,37900.0,66000.0,57950.0,57700.0,47550.0
2018-10-12,70900.0,49050.0,58500.0,56100.0,32350.0,37900.0,66000.0,57950.0,57700.0,47550.0
2018-10-13,,,,,,,,,,
2018-10-14,,,,,,,,,,
2018-10-15,70900.0,49050.0,58500.0,56100.0,32350.0,37900.0,66000.0,57950.0,57700.0,47550.0
